@category אוכל ומשקאות

# ── מנות עיקריות ─────────────────────────────────────────────────────────────
pizza | פיצה | pasta | hamburger | schnitzel | lasagna | sandwich
pasta | פסטה | pizza | lasagna | rice | ptitim | couscous
lasagna | לזניה | pasta | pizza | pashtida | quiche | rice
hamburger | המבורגר | schnitzel | hotdog | steak | chips | kebab
schnitzel | שניצל | hamburger | steak | meatball | chips | chicken
steak | סטיק | schnitzel | hamburger | meatball | kebab | chicken
meatball | קציצה | schnitzel | kebab | hamburger | steak | sausage
kebab | קֵבָּב | meatball | shawarma | steak | hamburger | sausage
hotdog | נקניקיה | hamburger | sausage | chips | pizza | schnitzel
sausage | נַקְנִיק | hotdog | pastrami | meatball | kebab | chicken
pastrami | פסטרמה | sausage | hotdog | cheese | tuna | chicken
chicken | עוֹף | meat | schnitzel | steak | sausage | tuna
meat | בָּשָׂר | chicken | steak | schnitzel | sausage | tuna
tuna | טונה | chicken | meat | cheese | egg | pastrami
falafel | פלאפל | shawarma | sabich | hummus | pita | tahini
shawarma | שורמה | falafel | sabich | kebab | pita | hamburger
sabich | סביח | falafel | shawarma | pita | hummus | shakshuka
sushi | סושי | rice | pasta | pizza | tuna | salad
rice | ארז | couscous | ptitim | pasta | mashed | soup
couscous | קוסקוס | rice | ptitim | pasta | soup | mashed
ptitim | פתיתים | couscous | rice | pasta | mashed | soup
mashed | פִּירֵה | ptitim | rice | chips | couscous | soup
chips | צ'יפס | mashed | hamburger | schnitzel | hotdog | pizza
cholent | חמין | soup | rice | pashtida | meat | couscous
soup | מרק | salad | rice | cholent | porridge | mashed
salad | סלט | soup | hummus | tahini | omelet | sandwich
hummus | חומוס | tahini | falafel | salad | pita | sabich
tahini | טחינה | hummus | falafel | salad | sabich | spread
shakshuka | שקשוקה | omelet | egg | sabich | salad | soup
omelet | חביתה | egg | shakshuka | toast | salad | pancake
egg | ביצה | omelet | shakshuka | cheese | butter | yogurt
pashtida | פשטידה | quiche | lasagna | burekas | cholent | omelet
quiche | קִישׁ | pashtida | burekas | lasagna | pizza | crepe
burekas | בורקס | pashtida | quiche | malawach | jachnun | croissant
